Percent_Stride,pelvis_tilt,pelvis_list,pelvis_rotation,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,6.646659489355359,8.389011920605926,26.196567345609996,10.435353727346858,6.461989221030409,9.426278300804428,7.742628468233995,14.970332735887359,11.91780473221126,0.024183789238327924,17.966074835922246,7.5250371209731535,6.4081067557115645,24.8312746176796,25.568904184525206,13.626920610759681,0.024183789238327924,10.340959810877283,10.445575378647204,8.113829686873501,25.786294985720755,10.316321976266755,60.09526415719572,34.09392145023859,26.056761656343145,16.15706009148011,15.801918537556565,18.71442028464103,27.68621263068715,6.573771901054998
1.0,6.307888191116238,8.246476775633543,26.919219793985484,9.991882563987087,6.365794375271556,8.798341384090895,7.029990852060949,14.101127718746001,11.8861919284752,0.02310736252521808,17.913299391080223,6.612163763017372,6.462041684221314,25.458464789529366,24.13900824696575,13.823707228393811,0.02310736252521808,9.688668638637767,9.82076483113105,8.822365572203019,25.574205357494613,10.541678341555201,60.032490918884996,33.69779583165882,26.18497329661186,17.766531916483814,14.906164778959658,19.67750297217961,27.522083224809112,5.903971048683828
2.0,6.215694278456626,8.146156100292089,27.64842672643734,9.890441591450665,6.305090299838576,8.43234044422335,6.8378682138380205,13.487661717704277,12.151425717929675,0.02205725274414102,17.980475025938546,5.880395922270008,6.782664022956986,26.134004864684158,23.002202183587976,14.145208404377993,0.02205725274414102,9.181749027447346,9.348477436702613,9.59223486114471,25.395188313414597,10.819307845750023,60.05202018327666,33.56661664916034,26.33147749671602,19.681979678966872,14.061624578031543,21.42875981616745,27.38350488531824,6.417274012896373
3.0,6.33044061523198,8.094800994571306,28.404727179956442,10.088498113464183,6.237171848108837,8.406477105278904,6.923249834065126,13.040635322732003,12.672418000430959,0.02102373445483616,18.200676891841923,5.547887416995861,7.165376665277513,26.843439733561866,22.03185040324613,14.387920876849767,0.02102373445483616,8.835594768469965,9.06193939400172,10.218896045890085,25.331564320738202,11.16722083720121,60.047504526949695,33.4671718821716,26.41144581126739,21.882873696885106,13.585564362439815,24.269938271505783,27.337363466980946,7.446804597291247
4.0,6.569884819796717,8.053170159550447,29.311338371748224,10.385722751951192,6.03652418923296,8.590830799792148,6.8071207328043535,12.628491038270123,13.114160017586615,0.020036357340033648,18.085470835121413,5.526363551248712,7.762578667003272,27.200349340923236,19.528366900801085,14.301485879414084,0.020036357340033648,8.785042850025842,8.839871191090436,10.569879370840846,25.486380700441654,11.521661212094383,59.92517355254356,33.035970819660115,26.352366166269352,24.139035780921006,13.73802684971508,28.842071844951512,27.35295886729765,8.008478209412518
5.0,6.976602126314936,8.031183983720597,30.23693300479112,10.819234205699006,5.860546260194711,8.85770859508636,6.768422728569139,12.411021096158326,13.63608262754688,0.019124686529085513,17.99311989908547,5.5668468984657276,8.77614633124282,27.56754473070057,17.466804948368317,14.359539169274868,0.019124686529085513,8.872315580903742,8.58672542875445,10.81799049488347,25.819063981873313,11.917491209691404,60.041679996493855,32.39407355413789,26.298164970455097,24.71086172964683,13.933812792657378,31.826718783203386,27.345861189950224,8.126213977780086
6.0,7.299516085368196,7.952857326918494,30.46778565163555,11.239128431425643,5.896967449648681,8.908457499198873,6.614147811266016,12.499746711419487,14.12832042653343,0.017362527409638662,17.799670331372443,5.661538930294358,9.707312568956688,28.04812481299154,16.012854137154587,14.440536095552538,0.017362527409638662,9.075684028140744,8.375593167936572,10.632023741294411,26.237615002540476,11.971913147015067,60.49303122773476,31.681808581942015,26.285038987045507,22.419779817938494,13.632207047715053,31.130136329458583,27.363121910154266,7.576504579023438
7.0,7.55749056281053,7.945564894726737,30.461784747958678,11.520764384739605,6.075460505452015,9.087500220817473,6.394395754314183,12.755686935411054,14.500050336151315,0.015024456171630104,17.486882208798722,5.764756144142158,10.182285043834971,28.18332190743571,14.681208390080839,14.568604203691756,0.015024456171630104,9.267884558836357,8.265106118745848,10.284250486910382,26.620180946950292,11.892029812471852,60.99291857808709,31.168323490097784,26.377661333476105,20.14180074712526,13.17640864292664,30.582062511990323,27.306051509756983,7.051651539151758
8.0,7.844561303516864,8.022428795354314,30.489257840321287,11.85283989601814,6.289425636890773,9.382312378061167,6.274801106413694,13.101717664573542,14.868828240428641,0.012716845408830906,17.295936744254192,5.931313959863847,10.637296838994242,28.184508790946847,14.486097497142538,14.769086525172344,0.012716845408830906,9.532019143372949,8.256659170080145,10.05091412013997,27.03868257388476,11.867307154570357,61.55687964841448,30.73500647556132,26.49310731878112,18.153179915339546,12.798353381081899,30.402728484638683,27.177141777099575,6.615908603494103
9.0,8.087760164895856,8.182182351710907,30.445107884008216,11.916374674265445,6.391937059685447,9.877137018332954,6.340905418255812,13.690931958343542,15.134159396577562,0.01199701737329226,16.965995702767255,6.084906936185999,10.851081424764613,28.10631141968255,14.844699152703921,14.966774236225373,0.01199701737329226,9.954167058711866,8.28973352217442,9.90953308007436,27.51521452595136,11.863984121536662,62.12121410390364,30.204925452558374,26.429253409797635,16.703983596573355,12.797603023803704,28.024686428865476,26.736532187768805,6.187727957179337
10.0,8.178491677045903,8.296115316194204,30.407398692189755,11.844770968600368,6.348661207040936,10.240895615443865,6.50552648742996,14.546605807141335,15.352575506460454,0.011470177915062206,15.927571515156433,6.255493988752554,10.562034771744448,27.809810049756813,13.953869873989989,15.056654052442157,0.011470177915062206,10.31472332927167,8.504099290064527,9.507638399121303,26.999410241686647,11.94950606998596,62.08233165258648,30.278394694561257,26.521554987497158,16.282536848602728,13.092390250784247,27.184395277091124,26.493754817269167,5.701374742448807
11.0,8.386038102046577,8.794563623441123,29.432313365982754,11.968134389861753,6.276073218801593,10.591526096312027,6.304456136797281,15.181378143182824,15.392185983015807,0.010981715905594576,14.885011416679951,6.400872550823629,10.125443160000044,27.585669370514374,13.142063620016259,15.166104902843955,0.010981715905594576,11.205875182988958,8.61729155232486,8.738378323562683,26.33562906333273,12.133190658757918,61.93078792084648,31.298778643780423,26.829418865086936,15.67950866473608,12.630254812742244,26.85914336441351,26.602045615870527,5.220928058992701
12.0,8.55750857714923,9.680753833502663,27.457453564869223,12.731589595963626,6.155830800949431,10.924276330991978,5.7697427481024395,15.35691201173086,15.23701956715773,0.010629829715170298,14.051017481123422,6.784681936151519,9.90795916883943,27.345939179430232,12.420760692188274,15.100523868137536,0.010629829715170298,12.62284806416992,8.61755629047334,7.607563226655012,25.506417300072783,12.320001140768715,61.61613050007488,33.38663306072804,27.322955651989897,15.00866824520467,11.274330307220092,26.63609800529517,27.51924725175653,4.646954881670779
13.0,8.56801069837422,10.584208826391135,25.4717062729846,14.397911624152346,6.078520226089344,11.51798239878451,6.017895564704752,15.674512895871667,15.07034892847404,0.010280591150185595,12.977359092245644,7.372153389264933,10.074857555793912,26.91673962154575,10.913638272688218,14.958205419377922,0.010280591150185595,14.096222941927,8.643313853457535,6.650989767199488,24.720944968470935,12.646226523375478,61.31402719501676,35.45383750841369,27.726899032274783,14.43870101802302,9.970272995665912,26.152700662859672,28.406646936862945,4.151096943302307
