Percent_Stride,pelvis_tilt,pelvis_list,pelvis_rotation,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
10.0,-2.1562094214629632,-8.649549587185184,-14.473374324703705,20.542857967944443,14.330824746814812,-4.927537145648148,25.01727501592593,-12.826488720555554,-8.229163993944445,-7.505954418166667,11.223075908518517,-12.131069301148147,1.1030389872777775,73.5284733242037,-7.175799471203703,-7.1222674227962965,-7.505954418166667,-9.210500536537037,16.0875058185,-0.5084427059074068,-12.499936385018517,-20.01020241603704,-19.5439799975,83.49072141238888,74.72733101966666,-16.23066348337037,-19.7431140737037,6.780244786444444,86.94243895651852,82.74805099857407
11.0,-1.9457949042462965,-8.407735185249999,-14.440158021164812,19.527630594238886,14.231573470212961,-5.067718129733333,25.843380250283335,-11.472027750674076,-7.579955624331482,-7.505682592044443,13.340674456525925,-11.985090319055555,1.8025196441907398,74.99711131966296,-6.730964564435185,-7.13978724642037,-7.505682592044443,-9.009164421105558,15.90058928175926,0.6268579567148149,-11.835285686548147,-20.652661412746298,-19.61512221601852,84.82290608931109,75.38815729302037,-16.93043892878889,-19.532821355725925,8.339773783518517,85.55744369445185,82.5087079686111
12.0,-1.4328879434666673,-7.934918198303704,-14.01337636880741,18.625416608392594,14.092038721133333,-5.649796281992593,26.835653989948153,-9.86436186622963,-7.080707888629629,-7.505494829851851,15.309702322340737,-11.56725654305926,2.674037470807407,76.41014657313332,-6.451725965896298,-7.404518544866666,-7.505494829851851,-8.575805302088888,15.500360852125928,1.6111890788296295,-11.285265438577776,-21.300660118585185,-20.1310185521037,85.89184097688148,76.01467919934814,-17.300383430740737,-19.79074801420741,9.184656348792593,84.49421853596296,82.51561799299999
13.0,-0.8306208156481484,-7.312843997487038,-13.590235115331483,17.47391943000926,13.853736292492592,-6.078050510359261,27.645911507955553,-8.380553183611113,-6.717597028124073,-7.505301339540741,17.121181564175927,-10.951586227898149,3.3379310736277774,77.70744664456667,-6.352765835283335,-7.751216428401851,-7.505301339540741,-8.199995328957407,14.92418091562037,2.580093927442594,-10.599641000618517,-21.929552589283336,-20.729572662494448,86.93987699465372,76.5290925127111,-17.580639094588893,-20.13234517003889,9.469428347138889,83.6869478242389,82.55385121984258
14.0,-0.2950531122148145,-7.050552064337036,-14.100394629803704,14.550726625188892,13.555691337437036,-6.219207330796296,27.299059645977778,-7.093051736514816,-6.442459033229629,-7.505113542148147,18.551168861055555,-10.708879519907406,2.546586404381482,78.7908743260111,-6.106857428625926,-7.5452598525555565,-7.505113542148147,-8.847981838581482,14.619409317803704,4.331610807077777,-9.943534607840741,-22.328828600288887,-21.326720699959264,88.27132699404444,77.18247374914075,-18.1539947325,-19.961097347240745,9.731404145485184,82.40476961839629,82.41367753855187
15.0,0.45591147283333316,-6.752440474888889,-14.739908608175925,10.791444685638892,13.17884042553704,-5.88975383500926,26.456045366444442,-5.93148368926852,-6.287260803638889,-7.504923959055554,19.5379266385,-10.415774878925923,1.3323131523981488,79.59629479708332,-5.834703634222221,-7.459886213361112,-7.504923959055554,-10.073187975120371,14.310733380500002,6.391642018953703,-9.281363690287037,-22.633630237777776,-21.734913867148148,89.38063592837038,77.88744113880554,-18.866673601268516,-19.759685399425926,9.95596082837963,81.01763492587038,82.23209707321297
16.0,0.9274715007851858,-6.379999502451851,-14.85155523517037,7.021718360503705,12.578510057525927,-5.732178468703704,25.36440101454815,-5.00098921902963,-6.042955002074074,-7.504729623437037,20.37594824612593,-9.85838147814074,0.47935057117036955,80.04016149323702,-5.698262839214816,-7.492674314037038,-7.504729623437037,-11.152724874348147,13.874838568237037,8.14341605317037,-8.392800353162963,-22.971365121518517,-21.91639826565185,90.24863301751851,78.52714272233332,-19.508253450177776,-19.75714196608889,10.152092737051852,79.91345022551852,82.11659507302222
17.0,0.6261383574111122,-5.918566032831482,-13.107521744590743,3.6140541065444447,11.338358561138891,-5.731728194898149,24.34519478834074,-3.9293582315462965,-5.621223736144444,-7.50441344333148,20.77713254378889,-8.80197686417037,1.30418307176111,80.25090159290372,-5.559406896564815,-7.6553573871481495,-7.50441344333148,-11.849195226525927,12.910899415074073,8.747776423588888,-7.515135706462963,-23.46459786616667,-22.061411078464815,91.07144491288705,79.31629945962965,-19.88240653413889,-20.127884151629626,10.90177894275,78.81988490232408,82.29829558069999
18.0,0.23038462085555655,-5.305528925666667,-11.21184038081852,0.41099866685925907,9.90277025913704,-5.677561682544443,23.234203100496295,-2.873851137807407,-5.050114300185184,-7.504065311462963,21.491980736537037,-7.520503838644444,2.464575504974073,80.34418219877035,-5.268591370474074,-7.617066876048148,-7.504065311462963,-12.388673435285186,11.67338302615185,9.006716921011112,-6.390134154203702,-23.91521259762963,-22.058785903959258,91.84020717026667,80.2683697852222,-20.45946248773704,-20.46494729324074,11.853678586722221,77.56011708282593,82.52034803238149
19.0,-0.40268643561481376,-4.79993423354259,-9.563861249507408,-2.360852453396297,8.888560077424073,-5.525670346701851,21.790454467933333,-2.0513800479388897,-4.528672359385185,-7.5037737116333325,23.09289768582778,-6.596229828696296,2.821726826920371,80.6390866691463,-5.420971742859258,-7.446776808564816,-7.5037737116333325,-12.230496192033335,10.80394711945,8.660283857475928,-4.775239255211111,-24.20974549051296,-21.707804915279628,92.23709184073704,81.18366044001297,-21.766568160924077,-20.465934649796296,12.346727009255554,76.35303779602964,82.67145464661297
