Percent_Stride,pelvis_tilt,pelvis_list,pelvis_rotation,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,-3.20247624037037,-3.3150095770370367,14.033699510740744,-5.670324164444444,0.004793263518518245,-8.06747193425926,54.82993574685185,-11.461924630185186,-13.067041757407408,-7.530036680925925,32.89671275759259,1.6730997044444444,1.3612379438888889,26.949413113148147,-9.19742035074074,-9.556583538333333,-7.530036680925925,-10.014606104444445,3.451246959814815,-11.541105605740743,-2.014121782592593,-22.801868414999998,-9.068600923888887,91.4663601112963,86.4480076612963,-24.51986531777778,-20.326787431296296,13.210811246111112,76.72756142851853,82.74278641296297
1.0,-3.0741751254148153,-3.148133013307407,13.751522845574076,-4.04416165257778,0.19665588643333318,-7.485375469133334,57.31050047485556,-10.128603892351853,-12.902697606733334,-7.528369202033332,32.054647418351855,1.8408169578925921,1.2921881777296298,27.793548772077777,-9.726171237651851,-9.704362375774075,-7.528369202033332,-10.223251917996297,3.066425105444445,-10.467292753018517,-2.648436098937038,-23.187529721014812,-8.336560331499998,90.2170137105,86.13964541486297,-25.328571723544442,-20.299043834888888,12.761769648107409,76.53046931295557,83.66162166367037
2.0,-2.9363676300148147,-2.976129241688889,13.463600554962966,-2.417793385711111,0.3783760652370369,-6.903202690896297,59.82584289352594,-8.78763385751852,-12.738474797281482,-7.526709388807408,31.214970686999997,2.008451687007407,1.2431921940148147,28.637684123340744,-10.258039536896296,-9.852186285437035,-7.526709388807408,-10.450417095214815,2.699037857296296,-9.433476233518519,-3.2181734943925933,-23.451389879696297,-7.636687426111109,88.91157045659259,85.65610884387408,-25.87750582275556,-20.229991778592595,12.456530708881482,76.30128619117036,84.4871861864889
3.0,-2.8015867704333335,-2.902702387544444,13.152973024081483,-0.5944339534333332,0.5064710873259259,-6.20098482107037,62.52132323622963,-7.456891396911112,-12.895155716666666,-7.525071029314814,30.40849326847037,2.2623743534703706,1.1970274352259263,29.522768209633334,-10.602407560533333,-9.942171062837037,-7.525071029314814,-10.666512989844444,2.5388517547074074,-8.28321933314074,-3.4093694678481485,-23.492269368474076,-6.7790490844259255,87.40000219273705,84.88102982106666,-25.98722931052593,-20.136416215659256,11.996696987774072,76.47172045805554,85.15803651785558
4.0,-2.563914278303704,-3.3302108383259266,12.962735369333334,0.782147426696298,-0.5152909973037035,-5.980416233888889,64.98602001711112,-6.565681174985185,-12.534702758614813,-7.522897219051852,29.467525782348147,2.944483811725926,0.9557814746074076,30.58539666674815,-10.16905839957037,-10.023592416844444,-7.522897219051852,-10.686621475170368,3.203456778725927,-7.695421698385185,-3.867049147540741,-22.948048236385187,-6.810884932755555,85.64861880446666,84.04603634928148,-25.360191915777776,-20.097200001362964,10.826984240962965,77.29328743734816,86.06203451911851
5.0,-2.361543055722222,-3.8101793744074075,12.833273263685184,2.1856125830555553,-1.6942946326666661,-6.084243895481482,67.40904114029631,-5.68430214525926,-12.301493741833333,-7.520683890018518,28.594785112333334,3.629514535685185,0.6917831289814816,31.576272289203708,-9.6071748525,-10.120808970407408,-7.520683890018518,-10.519458563777778,3.947846038055556,-7.266975176351853,-4.474398475592593,-22.286794612388892,-7.109398565407409,83.87526460135184,83.05055066153705,-24.366776334500003,-19.94867650037037,9.970758336518518,77.96603685725927,86.71242102585184
6.0,-2.4844655339925925,-4.70376965048889,12.828676901518518,3.8066088614518514,-3.4376650579111114,-6.1570047022074075,69.48129079172593,-6.295421162014815,-12.540087752007405,-7.5185430769851855,28.15907125448148,4.48949418394074,0.3539712061259259,32.80271712364444,-9.241153586555555,-10.735610825022222,-7.5185430769851855,-9.74495194196296,4.998475545851851,-6.644911988333335,-4.197696175148148,-20.9127064634,-6.5898478579851885,81.58481067221481,81.99339304193333,-23.984138142733332,-20.00444568174815,8.822947004074074,78.80620863285928,87.4727180707926
7.0,-2.832758621840741,-5.407519874129629,12.81207758758889,6.529185280351852,-4.907714530507408,-6.358856548514814,72.21859888721852,-7.743424686974076,-14.289319001496299,-7.516966499592592,27.6972687763037,5.052837848218519,-0.07751372581851829,33.69614560556667,-8.676924913448147,-11.210601949833334,-7.516966499592592,-9.093295510281482,5.745811323681481,-5.542877246748148,-3.6098712690185186,-19.691985495748145,-5.400280558637035,78.86334242322962,80.62518649914074,-23.163024653470373,-20.098924002574073,8.745986546677777,79.98893822785186,87.6680408486
8.0,-3.104146831437037,-5.828424028444444,12.899354755614814,9.68170194322222,-5.8575215412148145,-6.582141024577776,75.31425421287408,-9.485281411525925,-16.101011041503703,-7.515437781518519,26.93800409799259,5.381129610429629,-0.5631935552740741,34.370956750970365,-7.759849777422222,-11.578747024888889,-7.515437781518519,-8.65854373542222,6.175048599133334,-4.5854539281037034,-3.2651069875185197,-18.60500395391852,-4.264274416437036,75.94360407547407,79.28521548845184,-22.421723786066664,-20.168359354777778,8.930139977044444,81.39345571251853,87.87230821510371
9.0,-3.0331245151444444,-5.8436691050703695,12.844466173807408,12.183690205203701,-6.309493880133335,-6.614539784618518,78.0368407600963,-10.600752860088887,-17.524941251533335,-7.513920570933333,25.575426259514813,5.622178037040742,-0.8882520456407408,34.83678294766296,-6.426898145785186,-11.58331695088889,-7.513920570933333,-8.822966177262963,6.317812182062962,-3.832486549114815,-3.069760849185185,-18.143242460155555,-3.424700178537038,73.4736926287963,78.13174836748517,-21.40486989224074,-20.060336053970374,9.229782850077775,82.80758688875183,87.65515610312963
