Percent_Stride,pelvis_tilt,pelvis_list,pelvis_rotation,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,6.181852694265286,8.486181783171611,29.92585726535997,17.835852396789356,8.709024423894629,8.02499000914127,11.070644237644114,22.235509249910564,15.777844360929471,0.05540913346478404,15.605254240441436,15.31116486900417,5.683785988194648,10.585830980656315,10.134887885946496,6.489067089107851,0.05540913346478404,7.971379632244731,9.421410713570435,7.381721150208408,19.066600279631604,19.54052624676094,65.68271589549632,32.41547030907311,26.675492373307744,17.65317084242925,19.573164513362197,28.59595439485724,28.904440816383048,10.050414125868521
1.0,6.747139993003406,8.483130177328865,29.952496224901758,18.92420530028334,8.346357307034058,7.433199410586801,11.3442391454514,22.931240165937513,16.542791854219846,0.052022092191873245,15.802486050391048,15.224146689757383,5.659850577893952,10.814237412735743,10.786161243673458,6.682102716146595,0.052022092191873245,8.676987710901368,9.577848395659865,7.646507457386919,18.781880729119035,20.129327481879663,65.94512279908213,32.9136008772071,26.537079151507456,16.777724688222577,19.92133504315286,28.01916403618941,27.847179591082437,9.642684718248798
2.0,7.373680082566956,8.514681616612595,29.989348503260338,20.24843287750497,8.21866174215541,7.349486814909101,11.73943678244817,23.819907042278974,17.35164427532176,0.048709296501842456,16.052350922083065,15.178789563033908,5.746925678251868,11.081423390132848,11.563716659216984,6.941973184570978,0.048709296501842456,9.512862097449252,9.755874214564173,8.192500717246569,18.63407467967131,20.543584303517193,66.21288487198217,33.383494044713615,26.428988699740167,16.987181186604882,20.209628042149763,27.913166559643344,26.86026543996207,9.628850831047467
3.0,8.043447609952262,8.437637270489905,30.07700450516125,21.458727394973007,8.299851889545673,7.480590345299653,11.843147643371015,24.693053969872064,17.025104757557724,0.045481418439667784,16.414139988026843,14.9830383951324,5.953566902172388,11.254263859957996,12.316636026590412,7.448649062615102,0.045481418439667784,10.49582073690108,9.71865084659316,8.7532133696553,18.52365297490546,20.60402262818319,66.60884515725867,33.635104228770395,26.267366022263836,18.18823725773172,20.407386407564445,28.233855656320255,26.223822222926703,9.87380138909266
4.0,8.102323205408654,8.221369296083394,30.191838430302262,21.783823615856168,8.227084807718201,7.419740909322844,11.439766688719681,24.094482344317946,16.051138977647852,0.04134443102619096,16.168002259145762,14.7886514373386,6.151341916691691,11.299113691693028,12.664520648116783,8.123557247344278,0.04134443102619096,10.564884453092422,9.54180174856629,9.067702055992914,18.180880246220518,20.08197005645757,66.7422639562713,33.42895776930398,26.122770579719397,19.526799633551075,20.547027134342933,29.96957923222763,26.482937332283225,9.092479087548414
5.0,8.136911101335958,8.065481707578689,30.327980644861388,22.241668339235343,8.315382216814019,7.4058091375275765,11.270088040186716,23.309701187516186,14.905417988716954,0.03751067071728758,15.85876218843242,14.733881306979871,6.38162121956446,11.215325216518995,13.107071590729847,8.82390445318238,0.03751067071728758,10.473013879246215,9.503973220202703,9.432323642601952,17.960829793334987,19.178394532707323,66.82144714867111,32.87952478251575,26.023052975413606,21.297352181356565,20.61542255536714,32.440680282556535,26.89956335520824,8.335949120471431
6.0,8.253103591691243,8.25807073396044,30.362395761514282,21.942145444380166,7.707611177446373,7.5315347609696,11.96232615663415,21.078065591974568,13.321579173529999,0.034028721593494626,15.458726659182329,14.265463747366667,6.603311890720218,11.042810461831955,13.552664319578051,9.615460842431334,0.034028721593494626,10.591357481319571,8.941460227789035,9.465434772726601,18.160480373170277,17.508768549443836,67.54828883336776,31.666794357394156,25.970432185264134,22.004405700706567,20.668344187007044,34.27096109062452,27.498530148180752,7.800478980766307
7.0,8.86035120571844,8.513971972193229,30.43520224691388,22.211006548382073,6.91708055271507,7.138789143522814,13.16351667630047,16.965137634293765,11.70698151415343,0.03161922190766887,15.930336738158731,13.753170819514343,6.946502136285843,10.659369083777156,13.959772606142819,10.333773229802404,0.03161922190766887,10.657676220603324,8.411448561789019,9.433402504804068,18.449808199261412,16.1218120798775,68.07933451903315,30.60997350836766,25.75282049943754,22.053488374431677,20.665747728162575,34.96588845360538,27.349857822729373,7.673945557818974
8.0,9.98057294478823,8.658238921017592,30.461075638769966,23.500422215716366,6.495906971106726,7.029914326462349,14.206467572462024,15.316423422143737,11.306561088831407,0.029487282636661366,17.080821949401738,13.56958915712789,7.429404532949533,10.235929572865913,14.449985088094907,10.797388907217977,0.029487282636661366,11.04759860537087,8.357088414384112,9.20807923339421,18.47696717472504,14.963911286696975,68.35719893578815,29.686526529331775,25.529350726020066,21.22150101219764,20.57190241085913,34.8914011788522,27.14631781135189,7.421952705713611
9.0,10.454874140986739,8.539597802880216,30.445585482802617,23.92002308336013,6.522930054960035,7.1924054573894205,14.55617704489224,15.358552534993816,11.244912928378852,0.027615540256705814,17.726351067189754,13.494442680139196,7.8473496164389855,9.895887234204158,15.034767942613444,11.007962162603368,0.027615540256705814,10.704070936431501,8.617428681246375,9.320118443103386,18.373003832565942,14.431815886822672,68.59101688615962,29.42747868616994,25.433603819037092,20.755975546925455,20.18538318154335,34.896397879266146,26.953940579942813,7.671488374570452
