Time,Coordinate,Speed,Mean,Std
0,hip_adduction_l,6.0,-1.27596555060044,0.683679149168435
1,hip_adduction_l,6.0,-2.31068514936369,0.805860532992554
2,hip_adduction_l,6.0,-3.43707768595066,0.923857887358906
3,hip_adduction_l,6.0,-4.62962111634066,1.03286938242311
4,hip_adduction_l,6.0,-5.86258419052341,1.13046393816264
5,hip_adduction_l,6.0,-7.11246311786085,1.21623007972434
6,hip_adduction_l,6.0,-8.35821552294367,1.29243803323837
7,hip_adduction_l,6.0,-9.57948414655593,1.36624473257382
8,hip_adduction_l,6.0,-10.753378553199,1.45132357567185
9,hip_adduction_l,6.0,-11.8491663696323,1.56377053787712
10,hip_adduction_l,6.0,-12.8288704692338,1.71417319376959
11,hip_adduction_l,6.0,-13.6398402838878,1.90637497821916
12,hip_adduction_l,6.0,-14.2526203264564,2.123935951422
13,hip_adduction_l,6.0,-14.6396396138267,2.34279150747861
14,hip_adduction_l,6.0,-14.786640074078,2.53782029877973
15,hip_adduction_l,6.0,-14.6925434101894,2.68861181864965
16,hip_adduction_l,6.0,-14.3603321214956,2.77036139816112
17,hip_adduction_l,6.0,-13.8099514761804,2.77988968180699
18,hip_adduction_l,6.0,-13.0675477118557,2.72126285459787
19,hip_adduction_l,6.0,-12.1591207384418,2.59538454018098
20,hip_adduction_l,6.0,-11.1149999412239,2.40785782930003
21,hip_adduction_l,6.0,-9.96740382755195,2.17222642643044
22,hip_adduction_l,6.0,-8.75892459977498,1.90076654497981
23,hip_adduction_l,6.0,-7.52794064404761,1.6128732737734
24,hip_adduction_l,6.0,-6.31391960040852,1.33055883997989
25,hip_adduction_l,6.0,-5.15387917383199,1.0726630715971
26,hip_adduction_l,6.0,-4.0817223102898,0.856662236767124
27,hip_adduction_l,6.0,-3.12901446747639,0.704614959977847
28,hip_adduction_l,6.0,-2.32288682228147,0.637001787817322
29,hip_adduction_l,6.0,-1.68312043318472,0.65110896874759
30,hip_adduction_l,6.0,-1.21963085049291,0.715412212767145
31,hip_adduction_l,6.0,-0.940923907694486,0.795302416521898
32,hip_adduction_l,6.0,-0.827562607465746,0.865203958997513
33,hip_adduction_l,6.0,-0.850861363246945,0.916100468914833
34,hip_adduction_l,6.0,-0.981805481520821,0.944154761825342
35,hip_adduction_l,6.0,-1.18877505832354,0.949464758667833
36,hip_adduction_l,6.0,-1.44023064824457,0.934784015521331
37,hip_adduction_l,6.0,-1.70624882951484,0.904707460922433
38,hip_adduction_l,6.0,-1.95894587191875,0.86483367841274
39,hip_adduction_l,6.0,-2.17100519133394,0.822166031585623
40,hip_adduction_l,6.0,-2.31694399707825,0.783570725326132
41,hip_adduction_l,6.0,-2.36994608244082,0.751790602489561
42,hip_adduction_l,6.0,-2.31529400849871,0.734795429270655
43,hip_adduction_l,6.0,-2.13863517484443,0.74005388064161
44,hip_adduction_l,6.0,-1.82986924464289,0.776353768076241
45,hip_adduction_l,6.0,-1.38314818282847,0.852889033937877
46,hip_adduction_l,6.0,-0.796552114781825,0.977432879621657
47,hip_adduction_l,6.0,-0.0660197724116146,1.16178972658841
48,hip_adduction_l,6.0,0.800315393253494,1.3988384188878
49,hip_adduction_l,6.0,1.79567916087208,1.6794137901669
50,hip_adduction_l,6.0,2.91065453363324,1.98910183239103
51,hip_adduction_l,6.0,4.13539683419962,2.30546264966416
52,hip_adduction_l,6.0,5.43922195529529,2.60950678670494
53,hip_adduction_l,6.0,6.79077094849408,2.87994886801636
