Time,Coordinate,Speed,Mean,Std
0,subtalar_angle_r,7.0,-10.205471725739,3.94022645889869
1,subtalar_angle_r,7.0,-11.4541761449823,4.31748227414887
2,subtalar_angle_r,7.0,-12.6279905762665,4.63139834225981
3,subtalar_angle_r,7.0,-13.667983951686,4.84514551888627
4,subtalar_angle_r,7.0,-14.5353072365449,4.93136640934622
5,subtalar_angle_r,7.0,-15.2046336546587,4.87084343648625
6,subtalar_angle_r,7.0,-15.652891629922,4.65221172235405
7,subtalar_angle_r,7.0,-15.8564282880782,4.27468617882694
8,subtalar_angle_r,7.0,-15.7969273296117,3.75017960051333
9,subtalar_angle_r,7.0,-15.4681791009641,3.10263912870393
10,subtalar_angle_r,7.0,-14.879074289465,2.36671572448019
11,subtalar_angle_r,7.0,-14.0533678055146,1.59086117823158
12,subtalar_angle_r,7.0,-13.0278099680533,0.874763434807452
13,subtalar_angle_r,7.0,-11.8490602024627,0.656506326357418
14,subtalar_angle_r,7.0,-10.5695634442159,1.20874987712765
15,subtalar_angle_r,7.0,-9.24342774573846,1.91305747199497
16,subtalar_angle_r,7.0,-7.92367789489055,2.60094434367377
17,subtalar_angle_r,7.0,-6.6614807454705,3.2375815774019
18,subtalar_angle_r,7.0,-5.50669464172324,3.80663594674416
19,subtalar_angle_r,7.0,-4.50834863069086,4.29377208815263
20,subtalar_angle_r,7.0,-3.71381471963533,4.68257453715979
21,subtalar_angle_r,7.0,-3.16616560859159,4.95417037027419
22,subtalar_angle_r,7.0,-2.90001806873006,5.08958287246885
23,subtalar_angle_r,7.0,-2.93667326903695,5.0739036830751
24,subtalar_angle_r,7.0,-3.27946649997013,4.90066322536314
25,subtalar_angle_r,7.0,-3.91035181978881,4.57539364050777
26,subtalar_angle_r,7.0,-4.78900577094502,4.11870328164381
27,subtalar_angle_r,7.0,-5.85567486955361,3.57035438425253
28,subtalar_angle_r,7.0,-7.0383281545855,2.99717703092704
29,subtalar_angle_r,7.0,-8.26303060402736,2.50664368143658
30,subtalar_angle_r,7.0,-9.4645401229928,2.24588001938936
31,subtalar_angle_r,7.0,-10.5944357961139,2.31386289622684
32,subtalar_angle_r,7.0,-11.6259308991779,2.64280840803357
33,subtalar_angle_r,7.0,-12.5549752508271,3.07865167881988
34,subtalar_angle_r,7.0,-13.3979126325955,3.50661753688015
35,subtalar_angle_r,7.0,-14.1838984564351,3.87095560197302
36,subtalar_angle_r,7.0,-14.9463366163483,4.15701386391526
37,subtalar_angle_r,7.0,-15.715744229152,4.37401755364009
38,subtalar_angle_r,7.0,-16.5135408922986,4.54414982321055
39,subtalar_angle_r,7.0,-17.3490505485237,4.69362621198389
40,subtalar_angle_r,7.0,-18.2195360352004,4.84530784515496
41,subtalar_angle_r,7.0,-19.112087165531,5.0132076072951
42,subtalar_angle_r,7.0,-20.0059259994076,5.20008734158592
43,subtalar_angle_r,7.0,-20.8745562678423,5.39897328456785
