Percent_Stride,hip_flexion_constantrun_3p0_Mean,hip_flexion_constantrun_3p0_Std,knee_angle_constantrun_3p0_Mean,knee_angle_constantrun_3p0_Std,pelvis_tx_constantrun_3p0_Mean,pelvis_tx_constantrun_3p0_Std,hip_flexion_constantrun_4p0_Mean,hip_flexion_constantrun_4p0_Std,knee_angle_constantrun_4p0_Mean,knee_angle_constantrun_4p0_Std,pelvis_tx_constantrun_4p0_Mean,pelvis_tx_constantrun_4p0_Std,hip_flexion_constantrun_5p0_Mean,hip_flexion_constantrun_5p0_Std,knee_angle_constantrun_5p0_Mean,knee_angle_constantrun_5p0_Std,pelvis_tx_constantrun_5p0_Mean,pelvis_tx_constantrun_5p0_Std,hip_flexion_constantrun_6p0_Mean,hip_flexion_constantrun_6p0_Std,knee_angle_constantrun_6p0_Mean,knee_angle_constantrun_6p0_Std,pelvis_tx_constantrun_6p0_Mean,pelvis_tx_constantrun_6p0_Std,hip_flexion_constantrun_jog_Mean,hip_flexion_constantrun_jog_Std,knee_angle_constantrun_jog_Mean,knee_angle_constantrun_jog_Std,pelvis_tx_constantrun_jog_Mean,pelvis_tx_constantrun_jog_Std,hip_flexion_fly_3p0_Mean,hip_flexion_fly_3p0_Std,knee_angle_fly_3p0_Mean,knee_angle_fly_3p0_Std,pelvis_tx_fly_3p0_Mean,pelvis_tx_fly_3p0_Std,hip_flexion_fly_4p0_Mean,hip_flexion_fly_4p0_Std,knee_angle_fly_4p0_Mean,knee_angle_fly_4p0_Std,pelvis_tx_fly_4p0_Mean,pelvis_tx_fly_4p0_Std,hip_flexion_fly_5p0_Mean,hip_flexion_fly_5p0_Std,knee_angle_fly_5p0_Mean,knee_angle_fly_5p0_Std,pelvis_tx_fly_5p0_Mean,pelvis_tx_fly_5p0_Std,hip_flexion_fly_6p0_Mean,hip_flexion_fly_6p0_Std,knee_angle_fly_6p0_Mean,knee_angle_fly_6p0_Std,pelvis_tx_fly_6p0_Mean,pelvis_tx_fly_6p0_Std,hip_flexion_fly_jog_Mean,hip_flexion_fly_jog_Std,knee_angle_fly_jog_Mean,knee_angle_fly_jog_Std,pelvis_tx_fly_jog_Mean,pelvis_tx_fly_jog_Std
0.0,-20.370604395779022,7.139596208488331,32.81927867102741,10.389693768749868,-0.09357487892266819,0.07280770565651921,-23.97449497684861,4.467967075011234,40.154315219038914,11.376776200790674,-0.10863883945815331,0.07251582806911677,-25.57219700681291,3.5979052229658604,48.332497045391584,11.202726428767587,-0.09739770627035434,0.07533321767389205,-23.120503989675885,8.53123732190268,53.389848583035445,15.6334109225204,-0.07607360387108554,0.11031292065120622,-21.93151753962047,7.292403015424882,40.45689142784787,12.75608253160845,-0.1057987547310033,0.06926694053913024,-19.841715428660194,5.673327517204468,25.996887358887836,9.851267703324195,-0.1601761600946013,0.11983545744108216,-22.516972002607833,5.623255721892901,32.84111020827721,11.773191232890149,-0.1911782590846681,0.09919706713395576,-20.51162914264848,13.816059106111322,41.270008981806534,14.30499500538965,-0.18737453518840327,0.09776566843188364,-22.011503922353135,6.933442323832306,48.79740191394058,13.324854806008492,-0.14127642489874312,0.0980326324924524,-20.239296742799592,7.8407307433117515,28.56641411291018,14.258251090463387,-0.1922164805027847,0.11001041775455775
1.0,-20.291877828615476,7.221388507878738,33.61216651928198,10.648481601691351,-0.09074657240388441,0.07408660451753557,-23.90118461800881,4.4871107948430495,41.05888086929163,11.24907718411702,-0.10597111550389587,0.072454925855112,-25.459880643040282,3.6273991384054414,49.247911992148225,11.139559460551753,-0.09347453670816219,0.0754935064947498,-22.918916992213777,8.816947565721199,54.10306938555376,15.475836481530639,-0.07297285432831663,0.11217164207140554,-21.812361886822465,7.3411954476240435,41.24641552105143,12.847763124823395,-0.10383507388626881,0.06999846402688496,-19.798117985948902,5.7180902608283635,26.589273116992565,9.974152851192594,-0.15811358988357604,0.11983693053471056,-22.44380388648042,5.6855841920195385,33.69169444999485,11.70119147035242,-0.18765759210932512,0.09971085096597228,-20.346705639379536,14.00221308123227,42.15373401246219,14.436994715565756,-0.1844448348733765,0.09927277501254331,-21.66225746304425,7.507796939662563,49.7133824378416,13.406895684502272,-0.14067234360665068,0.09704673751710823,-20.117359430105445,7.99697712173521,29.183585735092198,14.43956122993265,-0.19044124009061714,0.11054697621995875
2.0,-20.15428411614003,7.303675302804539,34.596342708077785,10.905584719737886,-0.0874973435929468,0.07532701378341158,-23.773315201518173,4.516583797344517,42.14504722452481,11.190395427282414,-0.10285777228723807,0.07240238528534779,-25.285465294424455,3.6820470610383453,50.339091050299565,11.096175071201479,-0.08882828418486423,0.07601574071085629,-22.609198299793093,9.216455999131457,54.95095454634324,15.35595310290754,-0.06981342322116907,0.11405660521430368,-21.64879848381017,7.438612914033845,42.191315599028606,12.964199532660464,-0.10147189656182322,0.07068967697020484,-19.715508516956362,5.785934103845667,27.347184114718456,10.102359079374859,-0.1557475815009044,0.11993595583601459,-22.304530443026767,5.767546724020877,34.712145041655766,11.6870303200278,-0.1838748156617489,0.1003430422693184,-20.13266552203372,14.218344571270723,43.180122108687755,14.521870763657224,-0.18116004596103832,0.10115524448169182,-21.23700485867977,8.130244267290834,50.78719458908351,13.52546507861825,-0.13952386801669345,0.09731503249612998,-19.94133650108572,8.173954395159942,29.947074805613337,14.637823548581911,-0.18832474054408815,0.1110612875959409
3.0,-19.971743453612824,7.390258549495245,35.73107296519438,11.167642744172719,-0.08391559814616101,0.07655937438252969,-23.60205104417566,4.560420059683075,43.38066091854935,11.192495278722495,-0.09940433280149095,0.07233521561956761,-25.0611546068225,3.765725689178442,51.57531569777683,11.07527058537598,-0.08365546422336627,0.07684032062042499,-22.21212818697084,9.713989886242082,55.90851358301289,15.267709551163003,-0.06670773253866573,0.11585692907013119,-21.449359714816993,7.579050575921423,43.26243247766023,13.102530603947462,-0.09879740863045113,0.0713909705541424,-19.602784940594606,5.875616176090681,28.23906089929266,10.237847076959373,-0.15313519736708409,0.12011323909357098,-22.110967669686776,5.869220180815989,35.87723942472142,11.728865394829466,-0.1798752857808477,0.10108764834428738,-19.877984820071557,14.460769423734089,44.326987978166535,14.570215322792123,-0.1775860063231873,0.10336633681284196,-20.7498223696935,8.781524919540207,51.99134457029799,13.669119647042034,-0.1379110783966609,0.09863964768353445,-19.721567296154248,8.372059316389153,30.83297246422105,14.853459408552578,-0.1859381763835984,0.11155721065936805
4.0,-19.757947644932965,7.484402237635231,36.97617404486092,11.444736055551394,-0.08008883918719505,0.07781850214743842,-23.39855646278025,4.622291974331214,44.733568585176336,11.24991117515506,-0.09571632003996612,0.07223966735949226,-24.799152226091454,3.880807405485608,52.925867412511195,11.08449268357359,-0.07815259234657419,0.07792058458922795,-21.748486928304025,10.293659549873242,56.95075601317127,15.206716148580774,-0.06376820426982881,0.11745014233269906,-21.222439412815593,7.757444908023985,44.43124055772299,13.262218677646352,-0.09589782709659972,0.0721550927110091,-19.468845175775648,5.985921852578414,29.23334401794234,10.385698904734879,-0.1503334999026121,0.12035159286416636,-21.874931563900347,5.990859110315001,37.16175504065339,11.826800893983108,-0.17570435850553012,0.10194216159262565,-19.591139562953558,14.726096309721903,45.57214632858181,14.59506124774468,-0.1737885538316215,0.10586482936960917,-20.214786256519236,9.448732257379888,53.29833858411686,13.832121246291932,-0.13591405501434178,0.10077334930997515,-19.468391155724905,8.591704887292138,31.817369850662764,15.088679190881514,-0.18335274212954872,0.11204164602470591
5.0,-19.478405452937345,7.599971972268686,38.42545780781959,11.705529684845711,-0.07568895191375263,0.07905552980905166,-23.158340489605482,4.699555317127869,46.24408608985909,11.347000558471612,-0.09165004533819235,0.0721095545754617,-24.507717652309253,4.027671543108014,54.37611908224209,11.125951124387285,-0.07246562841165906,0.07915112945982351,-21.234741832024252,10.935659903274074,58.062027662365914,15.169114418999078,-0.061074254156763305,0.11873252120638957,-20.958539236501867,7.957856550737415,45.771672508990555,13.354124312636959,-0.09252121860185944,0.07291006368500011,-19.320166750114733,6.113422267207696,30.314996126055004,10.546156309253679,-0.14733060469271025,0.12068259036765512,-21.606121476339805,6.130276528229218,38.56067805392437,11.968499157252289,-0.1713241523501013,0.1029331439479702,-19.27322762551789,15.007820867009826,46.92205864201139,14.588420069847695,-0.16971796354228683,0.10864347456429739,-19.6458114712874,10.122349368697252,54.68185226695724,14.010554144822722,-0.13360855941589453,0.10344607080786843,-19.19152138017623,8.83246093728368,32.8994649010063,15.333710119314192,-0.18056893284791603,0.11252386879620183
6.0,-19.04554583348821,7.775328605537794,40.289462252379494,11.924330241954637,-0.07007071609901061,0.08005271242344596,-22.798733261695592,4.814558050979367,48.21186786946513,11.442475143774816,-0.08617497134550645,0.07161772124818527,-24.098431999698317,4.205936576279407,56.26830829555104,11.063479825787478,-0.06516824508843382,0.08100772348424021,-20.57005714499755,11.632456861068233,59.47593758132951,15.131145628045743,-0.0573784035581612,0.12055538740733382,-20.533498320513846,8.387051937712595,47.64443304496734,13.406833565691604,-0.08803638107416323,0.07362849878533573,-19.12099034144455,6.261722207048811,31.56764533824687,10.720734422739106,-0.14384036202971248,0.1212525040682641,-21.272085382071733,6.273566048396658,40.238213508373484,12.074025411850178,-0.16609410793706167,0.10430781856084534,-18.884867975874112,15.304838587430972,48.557847015665,14.426350671014495,-0.16449104100207337,0.11193053539750937,-18.996778507503645,10.791878741827626,56.21996762051598,14.128548109136505,-0.1308825813492932,0.1063809120348301,-18.864617134110542,9.12423911232779,34.24087195959736,15.56418631001345,-0.1770459166126351,0.11294885046479596
7.0,-18.513945008085113,8.003719422212965,42.39228338441473,12.133939466630201,-0.06386054527285909,0.08090591123565384,-22.300537275819423,4.991490302733905,50.59468316575332,11.558326175089727,-0.07935081226378322,0.07089777603281436,-23.525650387382658,4.4299672025837005,58.68785044871465,10.874687286218528,-0.05570543321612354,0.08463165272525493,-19.614454784386798,12.604077292197402,61.37368888803381,15.195299909491485,-0.0517201202673923,0.12471449290127314,-19.92901892434052,9.184573504054244,49.94116952612983,13.55979287686495,-0.08303005440409902,0.07503883628585804,-18.814107483580635,6.473447528455987,33.10234470260206,10.882802651693583,-0.13960494091006612,0.12192028518219011,-20.76147257910033,6.476260103407406,42.38645421082511,12.150606428442229,-0.1597082666081335,0.10606148212771803,-18.32677509130373,15.703974335495456,50.6245853413708,14.05823906160977,-0.15747096445317166,0.11640526726681819,-18.135337954430046,11.517281366653148,58.15187048346812,14.12137363386656,-0.12705090117171164,0.10967946143285298,-18.418485695459694,9.48009961103574,36.074585469106005,15.755918368084426,-0.17198174744692285,0.11312135691628908
8.0,-17.952172041317066,8.25730532958802,44.517593631039546,12.342859863982182,-0.05779856277737679,0.08162392988338589,-21.722828384347412,5.221030797431622,53.12779618086113,11.68597197286255,-0.07204212349165881,0.07015822090057275,-22.846892701746,4.711148623973366,61.35195331865401,10.674254332287415,-0.04539834388628597,0.08990199073294464,-18.44297759734756,13.80256638788,63.560727308168005,15.37131710976612,-0.04508819444585894,0.1311601676463272,-19.23506840975258,10.216559921370003,52.35299703338751,13.835021518647974,-0.07813884726412582,0.0774761379794371,-18.407850018920595,6.760828882917786,34.86448622107126,11.004519767711203,-0.13498175205609186,0.12245171523692579,-20.080319415513888,6.752832988277678,44.902472785491355,12.243350426950977,-0.15261854008315284,0.10801607546406947,-17.61035763428705,16.157968081687173,52.989590795810564,13.615914206455413,-0.14931277636845366,0.12166964992703487,-17.075086992346353,12.26089526344918,60.46361076641836,14.010978209560188,-0.12170163156609609,0.11345400154987367,-17.870840261281952,9.886413370132944,38.288325938555985,15.88161848785199,-0.16570430666997366,0.11320147897116568
9.0,-17.395119462048704,8.478267397149455,46.52683573447449,12.526933915541939,-0.05235350721951688,0.08216583328903156,-21.118285212825665,5.479362333735523,55.57826331228662,11.82093878446583,-0.06499133293983736,0.0696101847944003,-22.12154622485996,5.043596857621033,63.97486686674819,10.549464201597017,-0.03559169608385089,0.09585241368783738,-17.173478002597683,15.096990922092392,65.79623034810584,15.622753800855364,-0.038644255851576846,0.13904763133178594,-18.530655235193755,11.305944701650214,54.62519342206329,14.170046638958317,-0.0737798633518111,0.08079783153916802,-17.941578888714165,7.10534356006806,36.735259003408906,11.097350497883959,-0.13046541322603541,0.12276921475601824,-19.28481744213803,7.082469488857798,47.56617165142905,12.381102141856438,-0.14558937306413347,0.10984799180276408,-16.80543138308979,16.59644137731565,55.43793478135856,13.212285212491429,-0.14105640452371132,0.12687768093920723,-15.901959906027795,12.955234616875394,62.961586466362284,13.8802472779095,-0.11550286205987303,0.11751404860622056,-17.26585689035435,10.320016794690838,40.66464667313848,15.957341757962755,-0.15897926769261986,0.11333632601446875
